,productBrand,productCategory,commission
0,PERNOD RICARD USA,,0.07
1,GoAmericaGo Beverages LLC,Straight Rye Whiskies,0.06
2,LUXCO INC,Triple Sec,0.32
3,"Foundry Distilling Company, LLC",Corn Whiskies,0.27
4,Diageo Americas,DECANTERS & SPECIALTY PACKAGES,0.24
5,Luxco-St Louis,AMERICAN AMARETTO,0.23
6,Luxco-St Louis,DISTILLED SPIRITS SPECIALTY,0.28
7,Mississippi River Distilling Co.,STRAIGHT RYE WHISKIES,0.21
8,OLE SMOKY DISTILLERY LLC,Neutral Grain Spirits Flavored,0.06
9,Jim Beam Brands,Coffee Liqueurs,0.27
10,Mccormick Distilling Company,100 PROOF VODKA,0.07
11,MHW Ltd,SINGLE MALT SCOTCH,0.13
12,Luxco-St Louis,TRIPLE SEC,0.04
13,PERNOD RICARD USA,Coffee Liqueurs,0.3
14,LUXCO INC,Imported Distilled Spirit Specialty,0.06
15,Sazerac North America,MISCELLANEOUS SCHNAPPS,0.08
16,SAZERAC NORTH AMERICA,,0.16
17,Jim Beam Brands,DECANTERS & SPECIALTY PACKAGES,0.18
18,Luxco-St Louis,BLACKBERRY BRANDIES,0.27
19,Pernod Ricard USA/Austin Nichols,IRISH WHISKIES,0.06
20,Pernod Ricard USA/Austin Nichols,DECANTERS & SPECIALTY PACKAGES,0.19
21,BACARDI USA INC,Gold Rum,0.24
22,Jim Beam Brands,Temporary &  Specialty Packages,0.07
23,Jim Beam Brands,COFFEE LIQUEURS,0.24
24,Infinium Spirits,Straight Rye Whiskies,0.26
25,SAZERAC COMPANY  INC,Bottled in Bond Bourbon,0.3
26,SAZERAC COMPANY  INC,Special Order Items,0.23
27,"John Ernest Distillery, Inc.",Imported Distilled Spirit Specialty,0.12
28,Jim Beam Brands,PEACH SCHNAPPS,0.26
29,LUXCO INC,Neutral Grain Spirits,0.1
30,Phillips Beverage Company,ROOT BEER SCHNAPPS,0.24
31,Jim Beam Brands,MISCELLANEOUS SCHNAPPS,0.33
32,Piedmont Distillers,DISTILLED SPIRITS SPECIALTY,0.3
33,Jim Beam Brands,APPLE SCHNAPPS,0.32
34,Diageo Americas,JAMAICA RUM,0.12
35,Jim Beam Brands,Aged Dark Rum,0.1
36,The Patron Spirits Company,COFFEE LIQUEURS,0.24
37,PIEDMONT DISTILLERS INC,Neutral Grain Spirits Flavored,0.27
38,Jim Beam Brands,Triple Sec,0.09
39,Luxco-St Louis,RASPBERRY SCHNAPPS,0.31
40,Brown Forman Corp.,Special Order Items,0.04
41,Jim Beam Brands,WATERMELON SCHNAPPS,0.32
42,"Constellation Wine Company, Inc.",PEACH BRANDIES,0.08
43,JINRO AMERICA INC,Imported Distilled Spirit Specialty,0.2
44,Jim Beam Brands,TRIPLE SEC,0.26
45,CHATHAM IMPORTS INC,Straight Rye Whiskies,0.16
46,Sazerac North America,DISTILLED SPIRITS SPECIALTY,0.17
47,Luxco-St Louis,AMERICAN ALCOHOL,0.19
48,SAZERAC NORTH AMERICA,Special Order Items,0.32
49,Campari America,Special Order Items,0.17
50,Jim Beam Brands,IRISH WHISKIES,0.23
51,Jim Beam Brands,GRAPE SCHNAPPS,0.26
52,"Sazerac Co., Inc.",DISTILLED SPIRITS SPECIALTY,0.29
53,Luxco-St Louis,100 PROOF VODKA,0.26
54,Luxco-St Louis,APRICOT BRANDIES,0.13
55,DIAGEO AMERICAS,Straight Rye Whiskies,0.25
56,"WILLIAM GRANT AND SONS, INC.",SINGLE MALT SCOTCH,0.05
57,Pernod Ricard USA/Austin Nichols,COFFEE LIQUEURS,0.24
58,LUXCO INC,American Sloe Gins,0.15
59,LUXCO INC,Gold Rum,0.12
60,Wilson Daniels Ltd.,STRAIGHT RYE WHISKIES,0.16
61,MHW Ltd,BARBADOS RUM,0.15
62,PERNOD RICARD USA,Single Malt Scotch,0.19
63,"Moet Hennessy USA, Inc.",DECANTERS & SPECIALTY PACKAGES,0.12
64,"Sazerac Co., Inc.",TROPICAL FRUIT SCHNAPPS,0.29
65,Infinium Spirits,Iowa Distilleries,0.24
66,Pernod Ricard USA/Austin Nichols,SINGLE MALT SCOTCH,0.12
67,Sidney Frank Importing Co.,DECANTERS & SPECIALTY PACKAGES,0.15
68,Infinium Spirits,Special Order Items,0.19
69,"Sovereign Brands, LLC",Aged Dark Rum,0.08
70,Heaven Hill Brands,APRICOT BRANDIES,0.12
71,Campari America,Aged Dark Rum,0.13
72,Prestige Wine and Spirits Group,DECANTERS & SPECIALTY PACKAGES,0.22
73,CEDAR RIDGE VINEYARDS LL,Single Malt Scotch,0.04
74,MOET HENNESSY USA,Single Malt Scotch,0.26
75,"Bacardi U.S.A., Inc.",DECANTERS & SPECIALTY PACKAGES,0.17
76,SAZERAC COMPANY  INC,Imported Distilled Spirit Specialty,0.18
77,Heaven Hill Brands,DECANTERS & SPECIALTY PACKAGES,0.32
78,"Sazerac Co., Inc.",CINNAMON SCHNAPPS,0.3
79,MHW Ltd,DECANTERS & SPECIALTY PACKAGES,0.33
80,SAZERAC COMPANY  INC,American Vodka,0.24
81,Sazerac North America,BLACKBERRY BRANDIES,0.12
82,"Mast-Jagermeister US, Inc",Imported Cordials & Liqueur,0.04
83,SAZERAC NORTH AMERICA,Imported Distilled Spirit Specialty,0.21
84,Jim Beam Brands,CINNAMON SCHNAPPS,0.09
85,Phillips Beverage,Aged Dark Rum,0.14
86,MISSISSIPPI RIVER DISTIL,,0.23
87,SAZERAC COMPANY  INC,Triple Sec,0.33
88,SAZERAC COMPANY  INC,Temporary &  Specialty Packages,0.09
89,Jim Beam Brands,BUTTERSCOTCH SCHNAPPS,0.31
90,YAHARA BAY DISTILLERS INC,Special Order Items,0.04
91,"Yahara Bay Distillers, Inc",MISCELLANEOUS  BRANDIES,0.07
92,Brown-Forman Corporation,DECANTERS & SPECIALTY PACKAGES,0.17
93,Castle Brands,DECANTERS & SPECIALTY PACKAGES,0.32
94,Jim Beam Brands,Special Order Items,0.27
95,Heaven Hill Brands,,0.23
96,"Moet Hennessy USA, Inc.",SINGLE MALT SCOTCH,0.04
97,S&B Farms Distillery,American Distilled Spirit Specialty,0.24
98,SAZERAC NORTH AMERICA,Triple Sec,0.16
99,Infinium Spirits,American Distilled Spirit Specialty,0.2
100,BACARDI USA INC,,0.1
101,"American Heritage Distillers, LLC",American Distilled Spirit Specialty,0.16
102,Campari America,Imported Cordials & Liqueur,0.08
103,Mississippi River Distilling Co.,COFFEE LIQUEURS,0.29
104,Western Spirits Beverage Co. LLC,DECANTERS & SPECIALTY PACKAGES,0.12
105,"Sazerac Co., Inc.",DECANTERS & SPECIALTY PACKAGES,0.04
106,Brown Forman Corp.,Straight Rye Whiskies,0.08
107,Sazerac North America,DECANTERS & SPECIALTY PACKAGES,0.13
108,SAZERAC COMPANY  INC,,0.09
109,E & J Gallo Winery,,0.22
110,PROXIMO,,0.3
111,DIAGEO AMERICAS,Temporary &  Specialty Packages,0.33
112,Campari(skyy),,0.06
113,DUNKEL CORPORATION / Iowa Distilling,Neutral Grain Spirits,0.29
114,William Grant & Sons Inc,Single Malt Scotch,0.2
115,CONSTELLATION BRANDS INC,,0.26
116,SAZERAC COMPANY  INC,Aged Dark Rum,0.04
117,DIAGEO AMERICAS,,0.18
118,Disaronno International LLC,IMPORTED AMARETTO,0.24
119,Jim Beam Brands,ROOT BEER SCHNAPPS,0.12
120,"Cedar Ridge Vineyards,LLC",MISCELLANEOUS  BRANDIES,0.25
